strain	filter	kwargs
PV297973	subsampling	
PV806172	subsampling	
MW305675	subsampling	
MH218620	subsampling	
LC122928	subsampling	
KC175375	subsampling	
LC122760	subsampling	
MG746027	subsampling	
NC_039897	subsampling	
MG746008	subsampling	
JQ911595	subsampling	
OP712199	subsampling	
MH791993	subsampling	
MN227770	subsampling	
PV242312	subsampling	
MH638230	subsampling	
PX458223	subsampling	
JN400604	subsampling	
KM198536	subsampling	
MK616585	subsampling	
LC145790	subsampling	
LC726090	subsampling	
ON706286	subsampling	
KM198588	subsampling	
OP205552	subsampling	
OP727612	subsampling	
OL685304	subsampling	
PQ207925	subsampling	
MW009069	subsampling	
LC726062	subsampling	
PQ373147	subsampling	
MG746015	subsampling	
MT227816	subsampling	
PQ195948	subsampling	
KJ685408	subsampling	
PP587395	subsampling	
MT474049	subsampling	
PQ195892	subsampling	
MW305509	subsampling	
MW305549	subsampling	
KC175345	subsampling	
AB933690	subsampling	
OR536493	subsampling	
PP658554	subsampling	
LC597124	subsampling	
KY887597	subsampling	
LC369221	subsampling	
OR536494	subsampling	
MW581004	subsampling	
OM480530	subsampling	
PV232418	subsampling	
JN400614	subsampling	
MW305732	subsampling	
PQ336866	subsampling	
OR050585	subsampling	
MW261787	subsampling	
MF421542	subsampling	
LC122733	subsampling	
MH218632	subsampling	
PX458209	subsampling	
MK907787	subsampling	
KX158281	subsampling	
PP645200	subsampling	
OR793099	subsampling	
MT158859	subsampling	
JX989073	subsampling	
MH260498	subsampling	
KC960614	subsampling	
AB933763	subsampling	
PV784296	subsampling	
MZ265142	subsampling	
LC369235	subsampling	
PV806174	subsampling	
PV784333	subsampling	
MW261800	subsampling	
MF140663	subsampling	
PV282519	subsampling	
PP550076	subsampling	
MF140672	subsampling	
MW305717	subsampling	
PX458275	subsampling	
PV232424	subsampling	
KM198535	subsampling	
MK733202	subsampling	
LC369248	subsampling	
LC145796	subsampling	
OR463469	subsampling	
PQ373143	subsampling	
MT362917	subsampling	
LC790061	subsampling	
MG746033	subsampling	
MZ268407	subsampling	
MW661248	subsampling	
LC597125	subsampling	
PX458245	subsampling	
KC175392	subsampling	
NC_040876	subsampling	
MK067288	subsampling	
MG746032	subsampling	
LC122793	subsampling	
PP549884	subsampling	
MH218712	subsampling	
MH702281	subsampling	
PQ207921	subsampling	
JX459902	subsampling	
MH260500	subsampling	
MT409885	subsampling	
MF352143	subsampling	
GU292831	subsampling	
MN308019	subsampling	
MW305723	subsampling	
PQ336857	subsampling	
OQ940079	subsampling	
MK762719	subsampling	
JX445165	subsampling	
MG733287	subsampling	
MT372467	subsampling	
MF140697	subsampling	
OR687156	subsampling	
PV765565	subsampling	
PQ195923	subsampling	
LC122774	subsampling	
MG745996	subsampling	
AB933741	subsampling	
MF140685	subsampling	
MH218582	subsampling	
LC122816	subsampling	
MZ229462	subsampling	
MW661279	subsampling	
AB933708	subsampling	
PQ310459	subsampling	
PQ336859	subsampling	
MH218685	subsampling	
MK789435	subsampling	
KM198538	subsampling	
MW661270	subsampling	
MH218652	subsampling	
KM198489	subsampling	
JX445153	subsampling	
PQ213803	subsampling	
MZ291632	subsampling	
MF140638	subsampling	
OR536464	subsampling	
LC122734	subsampling	
PQ195951	subsampling	
MZ478138	subsampling	
MK729086	subsampling	
JX459904	subsampling	
MK762632	subsampling	
MW661282	subsampling	
PQ195883	subsampling	
AB933692	subsampling	
KP998539	subsampling	
PX458225	subsampling	
MH218687	subsampling	
MG746026	subsampling	
PV174239	subsampling	
OR536441	subsampling	
MT372466	subsampling	
PQ336871	subsampling	
MG674720	subsampling	
MW305601	subsampling	
PQ507182	subsampling	
KJ407075	subsampling	
AB933717	subsampling	
KF113527	subsampling	
LC122736	subsampling	
PQ610214	subsampling	
PQ195947	subsampling	
LC122807	subsampling	
EU004667	subsampling	
OM373201	subsampling	
ON595846	subsampling	
LC373452	subsampling	
OR685281	subsampling	
MT032004	subsampling	
LC122787	subsampling	
KC409244	subsampling	
MT372474	subsampling	
PQ310521	subsampling	
MW305578	subsampling	
PQ195928	subsampling	
PX458276	subsampling	
LC877031	subsampling	
AB933771	subsampling	
MH260493	subsampling	
PQ196541	subsampling	
MG746010	subsampling	
PQ208319	subsampling	
OR844383	subsampling	
PV282523	subsampling	
PQ195937	subsampling	
OP729310	subsampling	
MF140658	subsampling	
MH218737	subsampling	
KC175361	subsampling	
OK376263	subsampling	
MW305491	subsampling	
MW019619	subsampling	
OR844379	subsampling	
KF039727	subsampling	
MF140675	subsampling	
KP784693	subsampling	
PP381824	subsampling	
KY424332	subsampling	
PV784287	subsampling	
MF140674	subsampling	
OR536466	subsampling	
MG572715	subsampling	
LC726087	subsampling	
PQ196547	subsampling	
KJ194510	subsampling	
LC868427	subsampling	
PQ507176	subsampling	
LC122783	subsampling	
OM372488	subsampling	
MW305557	subsampling	
MN525276	subsampling	
KM198528	subsampling	
MH702259	subsampling	
MN307995	subsampling	
KC409298	subsampling	
LC122764	subsampling	
PP550088	subsampling	
MF140681	subsampling	
PP498989	subsampling	
PX458272	subsampling	
MH747482	subsampling	
MK907800	subsampling	
LC209476	subsampling	
PV920383	subsampling	
PV277015	subsampling	
KM198533	subsampling	
PV275053	subsampling	
LC122825	subsampling	
PP564824	subsampling	
KT970374	subsampling	
PV242314	subsampling	
MH218574	subsampling	
LC122705	subsampling	
KP784692	subsampling	
NC_029645	subsampling	
JQ613573	subsampling	
MH218661	subsampling	
MF140670	subsampling	
OR793092	subsampling	
MT232050	subsampling	
PX458211	subsampling	
MG745986	subsampling	
KC810026	subsampling	
PQ336856	subsampling	
MG746042	subsampling	
OM386672	subsampling	
MH218732	subsampling	
MT089580	subsampling	
AB933667	subsampling	
PQ195944	subsampling	
KF113526	subsampling	
MZ478136	subsampling	
PV611445	subsampling	
OQ552768	subsampling	
OR792775	subsampling	
MW305608	subsampling	
MN394545	subsampling	
MW305672	subsampling	
OR536477	subsampling	
KC409238	subsampling	
MW243610	subsampling	
KC810029	subsampling	
PV750885	subsampling	
OR397788	subsampling	
MH218693	subsampling	
LC209445	subsampling	
PQ310519	subsampling	
PV920374	subsampling	
LC209473	subsampling	
PP267292	subsampling	
MW661251	subsampling	
OM372480	subsampling	
PP564828	subsampling	
MT228630	subsampling	
MK753031	subsampling	
KC517365	subsampling	
EU004680	subsampling	
PQ196523	subsampling	
OM386670	subsampling	
JN975494	subsampling	
MG745987	subsampling	
MT372470	subsampling	
KX158285	subsampling	
EU004661	subsampling	
PX458271	subsampling	
MH260492	subsampling	
OR713748	subsampling	
MH218667	subsampling	
AB933761	subsampling	
PP549882	subsampling	
MF140679	subsampling	
PP267287	subsampling	
LC790058	subsampling	
KC409280	subsampling	
PP550079	subsampling	
MW284781	subsampling	
LC597121	subsampling	
LC744876	subsampling	
MK752942	subsampling	
MK762630	subsampling	
LC597115	subsampling	
MT372476	subsampling	
LC122765	subsampling	
MW305736	subsampling	
OK012404	subsampling	
MW559993	subsampling	
MZ478141	subsampling	
MG495084	subsampling	
MW661254	subsampling	
MT537941	subsampling	
KC409240	subsampling	
OP649638	subsampling	
MW305518	subsampling	
PV418615	subsampling	
OR536467	subsampling	
MH702272	subsampling	
LC122693	subsampling	
MF352144	subsampling	
MW305548	subsampling	
OR793078	subsampling	
OM980239	subsampling	
PQ219041	subsampling	
MN938461	subsampling	
PQ442936	subsampling	
PQ373125	subsampling	
OP805363	subsampling	
MK928496	subsampling	
OL826940	subsampling	
PX458232	subsampling	
PQ310124	subsampling	
PQ209101	subsampling	
MH997861	subsampling	
LC597126	subsampling	
OP205549	subsampling	
PV275064	subsampling	
OM372676	subsampling	
NC_039476	subsampling	
KM198497	subsampling	
MH218633	subsampling	
PQ195917	subsampling	
AB933694	subsampling	
MK753029	subsampling	
MH218719	subsampling	
EU004656	subsampling	
PP550067	subsampling	
PP658555	subsampling	
AB933644	subsampling	
OL826942	subsampling	
PX458195	subsampling	
OK376254	subsampling	
MH702284	subsampling	
MH218604	subsampling	
MF140690	subsampling	
LC790065	subsampling	
PX458250	subsampling	
MW019620	subsampling	
PV765590	subsampling	
MW305568	subsampling	
OR268205	subsampling	
MN308018	subsampling	
MW305637	subsampling	
OK376257	subsampling	
PP550064	subsampling	
MH218630	subsampling	
KT253245	subsampling	
MK789433	subsampling	
LC646332	subsampling	
MW305659	subsampling	
MK753012	subsampling	
OK247589	subsampling	
PP550086	subsampling	
KT780395	subsampling	
KC175399	subsampling	
OR536479	subsampling	
MW305489	subsampling	
PP550063	subsampling	
MW305654	subsampling	
MK753035	subsampling	
MW261793	subsampling	
AB933723	subsampling	
KC810021	subsampling	
OP723156	subsampling	
MT238671	subsampling	
OR536497	subsampling	
MT238665	subsampling	
PQ195879	subsampling	
KY225989	subsampling	
KT380915	subsampling	
KF712504	subsampling	
PQ196508	subsampling	
OR685283	subsampling	
MW305638	subsampling	
LC122903	subsampling	
OR536470	subsampling	
PP267281	subsampling	
PX458251	subsampling	
LC369243	subsampling	
KC409262	subsampling	
MH218674	subsampling	
KM258129	subsampling	
OP689689	subsampling	
PV746280	subsampling	
MW305572	subsampling	
MH218639	subsampling	
LC209451	subsampling	
LC369245	subsampling	
MG746009	subsampling	
OL468714	subsampling	
PX458210	subsampling	
MN307994	subsampling	
MN480761	subsampling	
MW581009	subsampling	
KY905335	subsampling	
MH218618	subsampling	
MW305610	subsampling	
PQ208323	subsampling	
PQ336848	subsampling	
LC122801	subsampling	
MZ203488	subsampling	
MH218610	subsampling	
PX458214	subsampling	
PQ442937	subsampling	
MW305564	subsampling	
PV223444	subsampling	
LC122781	subsampling	
OR793079	subsampling	
KC576915	subsampling	
MT238663	subsampling	
PQ208317	subsampling	
KT780407	subsampling	
OP729311	subsampling	
PV242307	subsampling	
MT409887	subsampling	
MW305666	subsampling	
KC175391	subsampling	
KF509947	subsampling	
EU004673	subsampling	
MW581011	subsampling	
PP587393	subsampling	
MW305663	subsampling	
OP205585	subsampling	
KF429782	subsampling	
MK762565	subsampling	
PV242310	subsampling	
KC175384	subsampling	
MT372477	subsampling	
MW305630	subsampling	
PQ209108	subsampling	
OQ940074	subsampling	
MH218658	subsampling	
MT158853	subsampling	
KC013592	subsampling	
MH218686	subsampling	
LC122858	subsampling	
MT010299	subsampling	
LC122890	subsampling	
LC122873	subsampling	
KX356908	subsampling	
MH746923	subsampling	
MW045405	subsampling	
OR084257	subsampling	
KF429772	subsampling	
KC175380	subsampling	
KC409282	subsampling	
KC409304	subsampling	
LC122872	subsampling	
OP689557	subsampling	
KC175396	subsampling	
JX445155	subsampling	
KF429777	subsampling	
PX458239	subsampling	
LC726076	subsampling	
LC145804	subsampling	
KM036379	subsampling	
MW305683	subsampling	
KU557787	subsampling	
MH218689	subsampling	
LC769712	subsampling	
KJ196297	subsampling	
AB933652	subsampling	
MG746011	subsampling	
LC209453	subsampling	
LC868437	subsampling	
MH218586	subsampling	
MT357991	subsampling	
MN938460	subsampling	
OK376259	subsampling	
PV418617	subsampling	
MK764019	subsampling	
OM372478	subsampling	
PV765509	subsampling	
PV282508	subsampling	
MN307997	subsampling	
KC175395	subsampling	
PQ209102	subsampling	
OR536455	subsampling	
LC122786	subsampling	
AB933687	subsampling	
LC122924	subsampling	
LC122715	subsampling	
PQ195909	subsampling	
MZ292759	subsampling	
KC175401	subsampling	
MW305615	subsampling	
MH746922	subsampling	
PV640830	subsampling	
MT712147	subsampling	
MT537605	subsampling	
LC122730	subsampling	
OK376264	subsampling	
LC122930	subsampling	
PQ304632	subsampling	
LC122832	subsampling	
KT970377	subsampling	
KJ685406	subsampling	
NC_044856	subsampling	
MH260488	subsampling	
MH218608	subsampling	
PV784299	subsampling	
OR536498	subsampling	
AB933701	subsampling	
KC810030	subsampling	
LC209470	subsampling	
MT010298	subsampling	
KX158279	subsampling	
AB933738	subsampling	
KC409307	subsampling	
PX458240	subsampling	
MH279823	subsampling	
LC209472	subsampling	
MK775028	subsampling	
LC209448	subsampling	
KM198546	subsampling	
GU991355	subsampling	
LC877025	subsampling	
LC122803	subsampling	
MK752947	subsampling	
MG002631	subsampling	
KC409277	subsampling	
OP205582	subsampling	
MT008458	subsampling	
KT970375	subsampling	
KF429791	subsampling	
LC122771	subsampling	
PP267284	subsampling	
PP564833	subsampling	
LC122805	subsampling	
MW305617	subsampling	
MK236611	subsampling	
LC122911	subsampling	
MW305490	subsampling	
OQ940081	subsampling	
JX445159	subsampling	
KJ685403	subsampling	
PX458259	subsampling	
PV839786	subsampling	
MK773586	subsampling	
PX631122	subsampling	
OP690425	subsampling	
OL943801	subsampling	
MF140689	subsampling	
MZ312111	subsampling	
OK376262	subsampling	
MZ462932	subsampling	
MH218607	subsampling	
KU935739	subsampling	
OR397769	subsampling	
KM198515	subsampling	
OR397785	subsampling	
OP205576	subsampling	
LC209461	subsampling	
PX458257	subsampling	
PQ336854	subsampling	
MW305713	subsampling	
PQ195908	subsampling	
KY009908	subsampling	
MZ279713	subsampling	
KC409252	subsampling	
KC409310	subsampling	
KF712503	subsampling	
GU594162	subsampling	
KT202798	subsampling	
LC369233	subsampling	
JQ911597	subsampling	
MW305649	subsampling	
PV232423	subsampling	
MG572719	subsampling	
OR463403	subsampling	
KF429792	subsampling	
PQ196532	subsampling	
PQ196525	subsampling	
OQ552771	subsampling	
LC790067	subsampling	
LC868430	subsampling	
OR397773	subsampling	
MT372463	subsampling	
PQ507175	subsampling	
MW305622	subsampling	
PX458191	subsampling	
OP805364	subsampling	
PQ196557	subsampling	
OR536454	subsampling	
MH260479	subsampling	
MW581008	subsampling	
PX458256	subsampling	
LC744869	subsampling	
GQ845368	subsampling	
MG572731	subsampling	
PV784294	subsampling	
KC409241	subsampling	
OP727611	subsampling	
MK752933	subsampling	
MH260490	subsampling	
MT233102	subsampling	
KM198563	subsampling	
PV784298	subsampling	
KC517362	subsampling	
PX458252	subsampling	
PX458246	subsampling	
AB933750	subsampling	
PV275052	subsampling	
KM198585	subsampling	
LC384110	subsampling	
KJ407073	subsampling	
OR844382	subsampling	
MF140640	subsampling	
KT970373	subsampling	
LC209449	subsampling	
MW284784	subsampling	
PQ310234	subsampling	
MW305629	subsampling	
LC209458	subsampling	
KX907729	subsampling	
PQ308689	subsampling	
KY887603	subsampling	
MH218591	subsampling	
MZ215727	subsampling	
MW661274	subsampling	
MH218605	subsampling	
LC369230	subsampling	
MN248516	subsampling	
MW305695	subsampling	
MH260505	subsampling	
KF429779	subsampling	
EU004681	subsampling	
PV750887	subsampling	
MK773582	subsampling	
PV275066	subsampling	
MW305720	subsampling	
MW284778	subsampling	
MH702273	subsampling	
LC877029	subsampling	
PV418618	subsampling	
MH702278	subsampling	
PX458198	subsampling	
OR536484	subsampling	
KC175385	subsampling	
KM198565	subsampling	
MF140643	subsampling	
OP205532	subsampling	
PQ195903	subsampling	
OR700746	subsampling	
OP649636	subsampling	
KC175366	subsampling	
MT729788	subsampling	
MK301293	subsampling	
PV611446	subsampling	
MG746021	subsampling	
PV053516	subsampling	
PQ196561	subsampling	
JQ798158	subsampling	
LC209457	subsampling	
OK247590	subsampling	
LC790056	subsampling	
LC597130	subsampling	
ON033826	subsampling	
PV242315	subsampling	
PV282524	subsampling	
PQ195916	subsampling	
GU991353	subsampling	
MG548737	subsampling	
MH218589	subsampling	
MZ233435	subsampling	
MW305627	subsampling	
NC_044853	subsampling	
MN248515	subsampling	
KJ685405	subsampling	
LC122752	subsampling	
PP550083	subsampling	
OK012403	subsampling	
KY905338	subsampling	
LC122834	subsampling	
JX445161	subsampling	
LC145797	subsampling	
MW305484	subsampling	
MH218598	subsampling	
LC122866	subsampling	
NC_044045	subsampling	
LC597112	subsampling	
MW305534	subsampling	
MH218648	subsampling	
KM198492	subsampling	
PX458221	subsampling	
MW305693	subsampling	
MW661272	subsampling	
OP901692	subsampling	
AB435514	subsampling	
OP609645	subsampling	
KT780412	subsampling	
MZ279714	subsampling	
JN595867	subsampling	
AB933705	subsampling	
MT731279	subsampling	
OR536491	subsampling	
OP162338	subsampling	
KJ196293	subsampling	
PX458244	subsampling	
OR793103	subsampling	
AB933731	subsampling	
KJ196290	subsampling	
MK762562	subsampling	
MH260509	subsampling	
PX458254	subsampling	
MG495082	subsampling	
MW661255	subsampling	
KT780411	subsampling	
OR700747	subsampling	
KX907727	subsampling	
PX458269	subsampling	
LC122773	subsampling	
MT357994	subsampling	
JQ613567	subsampling	
PV282521	subsampling	
LC122706	subsampling	
KJ685415	subsampling	
MF140646	subsampling	
OR793096	subsampling	
MW305524	subsampling	
MN308001	subsampling	
LC885325	subsampling	
MK775029	subsampling	
MK616559	subsampling	
KM198502	subsampling	
KF429788	subsampling	
LC209439	subsampling	
PV275050	subsampling	
PV750892	subsampling	
OR793086	subsampling	
KF039733	subsampling	
JX486102	subsampling	
MZ215728	subsampling	
PP587392	subsampling	
KT779557	subsampling	
PV275043	subsampling	
PQ207945	subsampling	
MG786781	subsampling	
LC145806	subsampling	
OR397780	subsampling	
LC122886	subsampling	
MH218691	subsampling	
KM198499	subsampling	
MK756033	subsampling	
MW661263	subsampling	
PV232419	subsampling	
LC744877	subsampling	
PV750900	subsampling	
LC790060	subsampling	
MH218692	subsampling	
MK773583	subsampling	
PX458255	subsampling	
LC790069	subsampling	
KF712491	subsampling	
PQ310354	subsampling	
KC175364	subsampling	
PP549883	subsampling	
LC769705	subsampling	
PV276960	subsampling	
HQ009513	subsampling	
PV750883	subsampling	
PX631121	subsampling	
MG572714	subsampling	
LC369247	subsampling	
LC122720	subsampling	
AB985442	subsampling	
MZ291623	subsampling	
MG746034	subsampling	
PQ507180	subsampling	
OP205541	subsampling	
KM198485	subsampling	
PQ308685	subsampling	
PQ218790	subsampling	
MF140684	subsampling	
MW305631	subsampling	
OQ552773	subsampling	
MK762631	subsampling	
PQ031234	subsampling	
AB933712	subsampling	
MW305735	subsampling	
MW305625	subsampling	
PV242317	subsampling	
KM458057	subsampling	
KM198543	subsampling	
KC409264	subsampling	
KF306212	subsampling	
PQ195922	subsampling	
PQ273200	subsampling	
MN493873	subsampling	
OR267350	subsampling	
MT409884	subsampling	
LC868431	subsampling	
KM198487	subsampling	
OL336383	subsampling	
PV275046	subsampling	
LC209446	subsampling	
PV223402	subsampling	
LC122798	subsampling	
MW305620	subsampling	
EU004668	subsampling	
AB933714	subsampling	
KF712510	subsampling	
PQ336870	subsampling	
MW305587	subsampling	
LC209477	subsampling	
EU004669	subsampling	
OL336386	subsampling	
LC790053	subsampling	
MW305639	subsampling	
MW305614	subsampling	
KY887604	subsampling	
MH608287	subsampling	
KC409306	subsampling	
PP267291	subsampling	
PQ336852	subsampling	
MW305562	subsampling	
MF140667	subsampling	
KJ196279	subsampling	
MK754442	subsampling	
MH260482	subsampling	
OR536448	subsampling	
KX079488	subsampling	
LC122738	subsampling	
MN525275	subsampling	
OR536465	subsampling	
PX285875	subsampling	
LC597119	subsampling	
MH218717	subsampling	
ON706287	subsampling	
MG746030	subsampling	
JN400618	subsampling	
JF320651	subsampling	
OR536452	subsampling	
MK756035	subsampling	
MF140644	subsampling	
OR536449	subsampling	
MK762564	subsampling	
KM198549	subsampling	
PQ215575	subsampling	
KY947549	subsampling	
MW661247	subsampling	
MK648242	subsampling	
AB933711	subsampling	
PQ195890	subsampling	
PQ507184	subsampling	
LC122839	subsampling	
OR536489	subsampling	
OR793100	subsampling	
MH260512	subsampling	
MW305664	subsampling	
MG557654	subsampling	
PQ336867	subsampling	
OP205560	subsampling	
PX458222	subsampling	
OK376258	subsampling	
KC409296	subsampling	
PP549876	subsampling	
PP550087	subsampling	
MW305498	subsampling	
EF202568	subsampling	
MN400355	subsampling	
KT780406	subsampling	
MN307998	subsampling	
LC744872	subsampling	
KM198534	subsampling	
LC744871	subsampling	
KM198500	subsampling	
MH218718	subsampling	
OP205555	subsampling	
MF802551	subsampling	
MK762566	subsampling	
MT008455	subsampling	
LC877030	subsampling	
LC646335	subsampling	
LC122905	subsampling	
KF429784	subsampling	
MK753030	subsampling	
LC769708	subsampling	
PP267269	subsampling	
MH791994	subsampling	
PQ100948	subsampling	
AB933698	subsampling	
MN308021	subsampling	
LC122895	subsampling	
PX458235	subsampling	
LC122868	subsampling	
MZ233536	subsampling	
PP087922	subsampling	
PQ209104	subsampling	
NC_044046	subsampling	
OR793081	subsampling	
MH702286	subsampling	
KC517376	subsampling	
OP805362	subsampling	
MW305607	subsampling	
PV765588	subsampling	
LC122699	subsampling	
PQ196562	subsampling	
LC122919	subsampling	
AB933718	subsampling	
LC122848	subsampling	
KT780405	subsampling	
PQ273197	subsampling	
PQ207944	subsampling	
MW261797	subsampling	
KC175352	subsampling	
JQ388274	subsampling	
MZ478137	subsampling	
OM386792	subsampling	
MF326938	subsampling	
MH218602	subsampling	
LC122735	subsampling	
MK614134	subsampling	
PV920369	subsampling	
LC122899	subsampling	
EU004662	subsampling	
LC122894	subsampling	
OL685301	subsampling	
MH218666	subsampling	
AB933689	subsampling	
LC122794	subsampling	
OL943800	subsampling	
PP550080	subsampling	
MW305680	subsampling	
MN227774	subsampling	
OR844373	subsampling	
PP267276	subsampling	
LC145793	subsampling	
LC369239	subsampling	
MK648237	subsampling	
KY424328	subsampling	
LC209450	subsampling	
MT474039	subsampling	
KM198525	subsampling	
MT357898	subsampling	
MT344180	subsampling	
MK733204	subsampling	
MN394543	subsampling	
MH279824	subsampling	
KM272334	subsampling	
MH702275	subsampling	
MT364242	subsampling	
OQ940070	subsampling	
KF712496	subsampling	
MF802550	subsampling	
PV282517	subsampling	
JN975491	subsampling	
MW019956	subsampling	
LC122797	subsampling	
OL898514	subsampling	
MW581005	subsampling	
LC769704	subsampling	
LC885326	subsampling	
KY424335	subsampling	
LC145807	subsampling	
LC369218	subsampling	
MW305596	subsampling	
LC726078	subsampling	
OR084260	subsampling	
MZ223426	subsampling	
PP267283	subsampling	
MK762636	subsampling	
KP784698	subsampling	
KF429773	subsampling	
KR020503	subsampling	
KF712507	subsampling	
PV784290	subsampling	
MW305585	subsampling	
AB933764	subsampling	
MK753013	subsampling	
MK764017	subsampling	
KC175354	subsampling	
PQ273194	subsampling	
OP162337	subsampling	
KC175397	subsampling	
PP564829	subsampling	
OP727608	subsampling	
JF320650	subsampling	
KJ407072	subsampling	
LC122688	subsampling	
MW305530	subsampling	
KJ685411	subsampling	
OR546395	subsampling	
AB933707	subsampling	
MT008456	subsampling	
LC122880	subsampling	
KT970369	subsampling	
KC175390	subsampling	
KM198539	subsampling	
MH218716	subsampling	
MG599789	subsampling	
FJ514242	subsampling	
MW305606	subsampling	
KM198576	subsampling	
HM748972	subsampling	
MK928498	subsampling	
PQ336847	subsampling	
LC122754	subsampling	
MH218701	subsampling	
MH702277	subsampling	
PV784318	subsampling	
MH218707	subsampling	
PV282527	subsampling	
PQ308690	subsampling	
KY424334	subsampling	
MN227777	subsampling	
OP205570	subsampling	
KM198530	subsampling	
LC777250	subsampling	
OL451532	subsampling	
KY947548	subsampling	
PV750884	subsampling	
PQ373138	subsampling	
LC122851	subsampling	
KM198589	subsampling	
MZ546176	subsampling	
PV784277	subsampling	
MW261791	subsampling	
EU004654	subsampling	
PP267298	subsampling	
PQ373140	subsampling	
MT526278	subsampling	
MK762559	subsampling	
KM198559	subsampling	
MF167652	subsampling	
MZ291626	subsampling	
LC122897	subsampling	
MN588307	subsampling	
PQ373135	subsampling	
JF320647	subsampling	
OR844376	subsampling	
MW661275	subsampling	
PP564834	subsampling	
MK789656	subsampling	
OL913975	subsampling	
MW305543	subsampling	
OR463404	subsampling	
MG746039	subsampling	
KC409273	subsampling	
AB933653	subsampling	
MW305722	subsampling	
KU561255	subsampling	
MK907790	subsampling	
MT372465	subsampling	
KC175359	subsampling	
MH260485	subsampling	
LC646339	subsampling	
KT992787	subsampling	
PV765582	subsampling	
PV920372	subsampling	
ON329737	subsampling	
MH218615	subsampling	
PP658558	subsampling	
PQ373120	subsampling	
OR536447	subsampling	
LC122761	subsampling	
KF920739	subsampling	
MK762563	subsampling	
MW305641	subsampling	
MW305707	subsampling	
MN308002	subsampling	
OP901693	subsampling	
LC122852	subsampling	
LC122923	subsampling	
AB933729	subsampling	
KM198551	subsampling	
KC962462	subsampling	
OP205535	subsampling	
MK907801	subsampling	
PX458207	subsampling	
MT357996	subsampling	
PV750879	subsampling	
PV277014	subsampling	
OM372477	subsampling	
MN960578	subsampling	
PQ632216	subsampling	
PQ195888	subsampling	
MT362914	subsampling	
MH218649	subsampling	
LC369219	subsampling	
MN588304	subsampling	
KC409315	subsampling	
KY905331	subsampling	
PP267274	subsampling	
PQ310518	subsampling	
OM372479	subsampling	
LC122802	subsampling	
OR065090	subsampling	
MT420909	subsampling	
KJ196298	subsampling	
PQ373139	subsampling	
KC517369	subsampling	
KC810031	subsampling	
LC122701	subsampling	
PQ195931	subsampling	
PQ196517	subsampling	
PX458204	subsampling	
PQ373144	subsampling	
MW305711	subsampling	
PV242318	subsampling	
PV232415	subsampling	
MW305706	subsampling	
PQ196543	subsampling	
LC790064	subsampling	
PQ195900	subsampling	
MT474032	subsampling	
MW305517	subsampling	
PQ207934	subsampling	
PQ196512	subsampling	
MH260495	subsampling	
LC421228	subsampling	
MW305687	subsampling	
LC122775	subsampling	
OM372483	subsampling	
MH702269	subsampling	
MH218621	subsampling	
MW243609	subsampling	
MG002630	subsampling	
PQ336865	subsampling	
KC409317	subsampling	
OM372485	subsampling	
MW305725	subsampling	
AB933675	subsampling	
OP205563	subsampling	
KC463910	subsampling	
MW305522	subsampling	
JN400623	subsampling	
OP712198	subsampling	
PV275048	subsampling	
MF140694	subsampling	
PQ273186	subsampling	
KC175378	subsampling	
OR397781	subsampling	
KY905333	subsampling	
MT242487	subsampling	
KC409250	subsampling	
OP162334	subsampling	
LC726088	subsampling	
PQ373122	subsampling	
MT238664	subsampling	
KC175349	subsampling	
OP686904	subsampling	
MT229168	subsampling	
KC810032	subsampling	
PQ196565	subsampling	
LC122815	subsampling	
OR268636	subsampling	
MW559992	subsampling	
OM372490	subsampling	
LC744870	subsampling	
PQ304633	subsampling	
KJ685409	subsampling	
LC369257	subsampling	
KM198567	subsampling	
LC209480	subsampling	
OQ552783	subsampling	
MF140668	subsampling	
OP690427	subsampling	
OP205566	subsampling	
MK756034	subsampling	
PV655189	subsampling	
MF373609	subsampling	
PQ195946	subsampling	
MW305646	subsampling	
PV784321	subsampling	
AB601769	subsampling	
PQ461162	subsampling	
OR793077	subsampling	
KF712502	subsampling	
KC810027	subsampling	
PQ195926	subsampling	
MW305531	subsampling	
LC699540	subsampling	
AB933696	subsampling	
MH218726	subsampling	
PV750878	subsampling	
KY905330	subsampling	
MF140688	subsampling	
PV394766	subsampling	
KM198540	subsampling	
AB933730	subsampling	
PQ209095	subsampling	
MW305645	subsampling	
MT316122	subsampling	
LC122847	subsampling	
MK789434	subsampling	
PV765570	subsampling	
KC175367	subsampling	
KM198556	subsampling	
PV297972	subsampling	
JX439816	subsampling	
MK907799	subsampling	
OR051787	subsampling	
MT537634	subsampling	
EU004679	subsampling	
PQ196536	subsampling	
MK753017	subsampling	
MT158858	subsampling	
PQ218785	subsampling	
PV275054	subsampling	
MG746024	subsampling	
KY865307	subsampling	
MW305697	subsampling	
PQ208327	subsampling	
PV588658	subsampling	
MW305588	subsampling	
KC409245	subsampling	
MF668937	subsampling	
MK956178	subsampling	
OR267445	subsampling	
MH218637	subsampling	
AB933655	subsampling	
PQ195896	subsampling	
MG746006	subsampling	
LC122849	subsampling	
OR702991	subsampling	
KM198579	subsampling	
MH218663	subsampling	
MH218655	subsampling	
KJ196283	subsampling	
KC464505	subsampling	
MW305486	subsampling	
LC699537	subsampling	
JN400608	subsampling	
OP727614	subsampling	
MT233269	subsampling	
MG049693	subsampling	
KX158280	subsampling	
MG746014	subsampling	
KF712500	subsampling	
OQ552782	subsampling	
